ano,mes,petroleo
2018,Enero,54.80
2018,Febrero,51.39
2018,Marzo,51.60
2018,Abril,55.64
2018,Mayo,62.75
2018,Junio,62.51
2018,Julio,62.68
2018,Agosto,62.59
2018,Septiembre,66.20
2018,Octubre,69.30
2018,Noviembre,57.47
2018,Diciembre,50.02
2019,Enero,51.45
2019,Febrero,56.22
2019,Marzo,58.72
2019,Abril,62.94
2019,Mayo,62.56
2019,Junio,55.72
2019,Julio,57.68
2019,Agosto,53.65
2019,Septiembre,56.67
2019,Octubre,54.17
2019,Noviembre,56.95
2019,Diciembre,59.82
2020,Enero,58.66
2020,Febrero,50.88
2020,Marzo,30.65
2020,Abril,16.24
2020,Mayo,22.90
2020,Junio,32.92
2020,Julio,37.88
2020,Agosto,38.02
2020,Septiembre,35.23
2020,Octubre,34.04
2020,Noviembre,35.99
2020,Diciembre,40.40
2021,Enero,44.68
2021,Febrero,50.45
2021,Marzo,54.27
2021,Abril,52.80
2021,Mayo,55.09
2021,Junio,59.67
2021,Julio,62.19
2021,Agosto,59.74
2021,Septiembre,62.78
2021,Octubre,70.74
2021,Noviembre,70.39
2021,Diciembre,65.79
